Date,Type,Description,Symbol,Quantity,Price,Amount,Currency,Account
2024-02-12,Buy,Bought AAPL,AAPL,25,185.50,4637.50,USD,TFSA
2024-03-08,Buy,Bought MSFT,MSFT,15,405.20,6078.00,USD,RRSP
2024-04-15,Buy,Bought GOOGL,GOOGL,20,155.80,3116.00,USD,TFSA
2024-05-22,Buy,Bought AMZN,AMZN,30,186.40,5592.00,USD,TFSA
2024-06-10,Buy,Bought NVDA,NVDA,40,120.50,4820.00,USD,RRSP
2024-07-18,Buy,Bought META,META,12,480.30,5763.60,USD,TFSA
2024-08-25,Buy,Bought TSLA,TSLA,18,215.60,3880.80,USD,RRSP
2024-09-14,Buy,Bought JPM,JPM,35,198.75,6956.25,USD,TFSA
2024-10-02,Sell,Sold NVDA,NVDA,10,135.20,1352.00,USD,RRSP
2024-10-30,Buy,Bought JNJ,JNJ,45,158.40,7128.00,USD,TFSA
2024-11-15,Dividend,Dividend from JPM,JPM,,,87.50,USD,TFSA
2024-12-05,Buy,Bought KO,KO,80,59.30,4744.00,USD,RRSP
2025-01-10,Sell,Sold TSLA,TSLA,8,245.90,1967.20,USD,RRSP
2025-02-20,Buy,Bought PG,PG,25,168.50,4212.50,USD,TFSA
2025-03-18,Dividend,Dividend from KO,KO,,,36.80,USD,RRSP
2025-04-12,Buy,Bought V,V,20,285.60,5712.00,USD,TFSA
2025-05-08,Buy,Bought DIS,DIS,50,112.40,5620.00,USD,RRSP
2025-06-15,Sell,Sold META,META,5,520.10,2600.50,USD,TFSA
